,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 99 años,De 100 y más años,No especificado
Estados Unidos Mexicanos,"103,263,388","10,186,243","10,511,738","10,952,123","10,109,021","8,964,629","8,103,358","7,933,951","7,112,526","6,017,268","5,015,255","4,090,650","3,117,071","2,622,476","1,958,069","1,496,691","2,243,950","17,649","2,810,720"
Aguascalientes,"1,065,416","118,536","120,130","120,280","107,007","93,139","83,073","82,651","73,006","61,553","49,233","39,222","29,196","23,168","16,290","12,912","20,303",98,"15,619"
Baja California,"2,844,469","267,954","277,635","267,938","255,309","246,968","241,951","240,879","208,125","164,598","128,512","99,356","71,624","56,711","40,660","28,923","38,422",172,"208,732"
Baja California Sur,"512,170","49,069","49,164","48,106","46,700","46,222","45,939","43,628","38,197","31,526","25,121","19,430","13,781","10,783","7,544","5,254","7,427",45,"24,234"
Campeche,"754,730","73,461","79,199","83,597","77,485","70,006","62,455","59,665","52,899","43,896","36,152","29,746","21,475","17,979","12,827","9,830","15,434",140,"8,484"
Coahuila de Zaragoza,"2,495,200","249,590","257,277","257,591","231,405","214,562","206,859","205,193","180,228","152,496","126,257","100,907","77,889","64,043","47,679","34,186","47,631",225,"41,182"
Colima,"567,996","51,929","53,742","56,990","56,534","50,049","44,660","44,016","39,605","34,968","28,969","23,348","17,614","14,442","10,530","7,947","13,276",121,"19,256"
Chiapas,"4,293,459","490,058","512,440","537,725","471,331","383,455","324,289","283,522","257,320","210,437","176,142","139,301","103,667","98,728","63,469","46,845","68,041","1,267","125,422"
Chihuahua,"3,241,444","320,384","324,350","322,642","300,186","267,506","250,016","257,676","233,533","193,322","153,968","119,550","92,987","80,050","62,659","45,078","59,272",224,"158,041"
Distrito Federal,"8,720,916","664,092","671,579","704,950","740,280","765,641","735,441","755,600","678,990","596,540","515,878","441,077","329,553","263,228","192,699","164,150","238,409",952,"261,857"
Durango,"1,509,117","158,588","165,488","171,314","156,434","124,920","111,556","110,058","99,365","85,571","70,558","57,570","45,386","40,026","31,835","24,425","33,943",243,"21,837"
Guanajuato,"4,893,812","527,480","551,459","569,357","504,643","425,409","377,109","361,384","321,689","269,592","219,520","180,011","135,455","117,552","87,450","71,388","114,022",754,"59,538"
Guerrero,"3,115,202","345,731","377,826","396,125","332,940","252,404","212,665","198,099","181,518","158,810","135,306","112,818","89,468","80,235","66,040","50,403","75,378","1,126","48,310"
Hidalgo,"2,345,514","237,423","243,185","270,650","237,675","196,494","175,226","173,306","159,174","135,441","116,547","93,857","73,161","65,005","46,738","35,516","56,445",621,"29,050"
Jalisco,"6,752,113","674,285","688,681","697,206","669,724","601,671","523,866","509,541","448,698","379,829","318,734","267,921","208,005","172,579","126,101","96,044","160,775","1,027","207,426"
México,"14,007,495","1,373,064","1,362,065","1,410,691","1,334,112","1,250,151","1,152,407","1,147,320","1,016,457","839,324","682,173","539,308","388,919","305,945","215,924","156,324","212,082","1,334","619,895"
Michoacán de Ocampo,"3,966,073","400,054","426,654","462,479","423,624","332,440","284,690","273,154","247,470","216,455","182,586","153,673","120,402","104,898","84,325","69,195","112,651","1,046","70,277"
Morelos,"1,612,899","150,281","157,253","168,541","155,301","134,191","119,236","118,659","108,333","94,307","81,012","67,341","51,112","43,128","33,653","26,836","39,935",390,"63,390"
Nayarit,"949,684","92,384","96,834","103,122","97,519","79,031","69,847","69,251","62,553","54,176","47,294","39,727","31,623","27,893","21,551","15,830","25,165",222,"15,662"
Nuevo León,"4,199,292","396,832","403,641","381,498","372,986","381,072","364,392","368,549","322,812","265,277","218,683","172,436","134,046","108,646","83,083","59,373","83,509",376,"82,081"
Oaxaca,"3,506,821","357,272","394,779","443,980","366,868","281,999","243,386","230,648","210,256","185,440","161,350","136,431","107,316","102,856","77,317","61,759","98,317",992,"45,855"
Puebla,"5,383,133","579,804","586,108","624,075","548,971","474,429","411,939","384,349","340,799","283,374","242,420","197,862","154,041","133,552","100,862","78,396","126,549","1,187","114,416"
Querétaro Arteaga,"1,598,139","162,841","168,900","178,589","162,541","146,713","130,500","126,438","109,689","91,576","73,238","57,129","40,621","33,692","24,520","18,292","28,548",184,"44,128"
Quintana Roo,"1,135,309","107,380","106,802","106,745","102,042","103,377","97,203","93,113","78,570","59,687","43,595","32,692","23,000","16,414","10,845","7,226","9,608",70,"136,940"
San Luis Potosí,"2,410,414","253,580","266,312","285,397","247,158","198,562","173,849","171,383","155,867","134,538","113,281","92,388","73,276","65,308","51,272","40,409","63,830",515,"23,489"
Sinaloa,"2,608,442","244,907","262,539","275,179","256,624","220,179","196,928","197,089","177,043","154,173","130,129","107,972","84,875","71,711","53,783","38,183","56,910",411,"79,807"
Sonora,"2,394,861","234,936","243,250","240,901","221,592","201,924","190,619","191,733","171,077","147,464","125,538","99,848","74,804","61,504","48,362","33,784","47,359",214,"59,952"
Tabasco,"1,989,969","204,327","208,905","222,167","210,055","188,484","166,827","152,970","139,172","116,283","94,231","74,419","53,257","43,088","32,200","24,663","34,630",512,"23,779"
Tamaulipas,"3,024,238","294,740","295,298","290,402","274,245","267,644","253,314","248,444","223,045","185,155","150,775","119,530","91,480","77,434","60,579","44,260","62,774",429,"84,690"
Tlaxcala,"1,068,207","114,954","114,239","118,450","108,254","99,680","88,678","81,874","72,699","59,577","48,794","37,925","28,757","24,137","18,889","14,576","25,016",188,"11,520"
Veracruz de Ignacio de la Llave,"7,110,214","676,902","720,700","791,110","710,167","582,248","517,828","516,830","496,595","432,692","369,611","310,556","247,750","211,512","159,801","121,464","179,668","2,115","62,665"
Yucatán,"1,818,948","169,575","176,491","188,049","183,960","171,550","147,473","139,475","118,211","103,126","86,897","76,900","61,894","48,236","38,247","28,422","47,989",182,"32,271"
Zacatecas,"1,367,692","143,830","148,813","156,277","145,349","112,509","99,137","97,454","89,531","76,065","62,751","50,399","40,637","37,993","30,335","24,798","40,632",267,"10,915"
